experiment,seed,window,accuracy,alert_level,cosine_drift,max_jsd,max_wasserstein
Covariate,5,11,0.8431613431613432,critical,0.0003192424774169922,0.08155851497236535,0.3845059458915005
Covariate,5,12,0.8484848484848485,critical,0.0013657808303833008,0.07932076865391456,0.39131542218412957
Covariate,5,13,0.8378378378378378,critical,0.0015456676483154297,0.08014025285535997,0.35706595893037235
Covariate,5,14,0.8312858312858313,critical,0.0011382102966308594,0.09039460705112834,0.41143940989809574
Covariate,5,15,0.8284193284193284,critical,0.004431426525115967,0.15546215409075553,0.6801099005110526
Covariate,5,16,0.8222768222768223,critical,0.004206836223602295,0.16695086425539668,0.7171772686714764
Covariate,5,17,0.8255528255528255,critical,0.00426173210144043,0.1517529023192457,0.6675780666474529
Covariate,5,18,0.8276003276003276,critical,0.0028603076934814453,0.14856053347775539,0.63082778201608
Covariate,5,19,0.8330605564648118,critical,0.0023245811462402344,0.16457380189675583,0.6566242016295568
Covariate,6,1,0.8329238329238329,ok,0.0006669759750366211,0.003509384910810167,0.07821970491423706
Covariate,6,2,0.8476658476658476,ok,0.0005274415016174316,0.003281651201173702,0.06593736289503822
Covariate,6,3,0.8574938574938575,ok,0.00013083219528198242,0.002707235924395363,0.04426374227554807
Covariate,6,4,0.8480753480753481,ok,0.0008079409599304199,0.0028197930070261367,0.06856620375531894
Covariate,6,5,0.8468468468468469,ok,0.00014793872833251953,0.0028159669005241718,0.04341545853065231
Covariate,6,6,0.8423423423423423,ok,0.000347137451171875,0.003370242113358787,0.09332760907310583
Covariate,6,7,0.8677313677313677,ok,0.0007906556129455566,0.0032056055719587324,0.0700179929742063
Covariate,6,8,0.8431613431613432,ok,0.0004328489303588867,0.003098182608443472,0.08053201275188933
Covariate,6,9,0.8513513513513513,ok,0.00012493133544921875,0.003016232333006371,0.043601042935013545
