experiment,window,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,cosine_drift_mean,max_jsd_mean,alert_rate
Mixed,5,0.8506306306306307,0.847703584689734,0.8535576765715275,0.0003181171417236328,0.0030547235516260886,0.4
Mixed,6,0.839148239148239,0.8361217218913184,0.8421747564051596,0.0003754806518554688,0.0032194225147733966,0.56
Mixed,7,0.8315806715806715,0.828036836253676,0.835124506907667,0.00036402702331542967,0.003338165367853446,0.52
Mixed,8,0.8226863226863229,0.8203375278779285,0.8250351174947174,0.0003901052474975586,0.003159531063754705,0.56
Mixed,9,0.8112530712530712,0.8081673732503665,0.814338769255776,0.0004350805282592773,0.003261246095677077,0.64
Mixed,10,0.7910401310401309,0.7880506112787602,0.7940296508015017,0.000921323299407959,0.0635909075540952,1.0
Mixed,11,0.7767239967239967,0.7723545880114183,0.7810934054365751,0.00099931001663208,0.06456498189934994,1.0
Mixed,12,0.7672891072891072,0.7632067013154976,0.7713715132627167,0.0009774208068847657,0.06354430785201542,1.0
Mixed,13,0.7591646191646191,0.7539829968144912,0.764346241514747,0.0011188697814941407,0.0636774507235896,1.0
Mixed,14,0.7463882063882065,0.7411908924326969,0.7515855203437161,0.0009305310249328613,0.06453742343098566,1.0
Mixed,15,0.7208190008190007,0.7151267545682647,0.7265112470697368,0.003541245460510254,0.1085532613154442,1.0
Mixed,16,0.7115806715806713,0.7044697517574197,0.7186915914039229,0.0035625672340393066,0.10802202038096921,1.0
Mixed,17,0.7011302211302213,0.6950353048515588,0.7072251374088837,0.003356947898864746,0.10648657484980298,1.0
Mixed,18,0.6943325143325144,0.6877102846597168,0.700954744005312,0.0035039210319519043,0.10799430168067065,1.0
Mixed,19,0.6868903436988544,0.6800228160288854,0.6937578713688234,0.0034781575202941896,0.10806622522052291,1.0
Natural (Electricity),1,0.7836291390728476,0.7821505378208206,0.7851077403248746,0.017959423065185547,0.38863856550548875,0.0
Natural (Electricity),2,0.6788697571743931,0.6769077330373819,0.6808317813114043,0.08515441656112671,0.385644849814509,0.0
Natural (Electricity),3,0.7239381898454745,0.7192152316300241,0.728661148060925,0.19001455307006837,0.4145072149551431,0.0
Natural (Electricity),4,0.5922472406181015,0.5850125880352036,0.5994818932009994,0.26862076759338377,0.4276280818045956,0.64
Natural (Electricity),5,0.5466843267108168,0.5389563122374688,0.5544123411841648,0.33524959802627563,0.43858177271360005,1.0
Natural (Electricity),6,0.7646622516556291,0.7605310330329009,0.7687934702783572,0.06933243751525879,0.37370555817332496,1.0
Natural (Electricity),7,0.6707108167770418,0.6654447490475424,0.6759768845065413,0.1513477849960327,0.3922843768246436,1.0
Natural (Electricity),8,0.7830110375275939,0.7814213072628199,0.784600767792368,0.002097640037536621,0.37709179679263904,1.0
Natural (Electricity),9,0.7847417218543045,0.7838441572912087,0.7856392864174002,0.006349318027496338,0.4186237970621648,1.0
